City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
clyde river,70.4692,-68.5914,8.6,92,75,24.16,CA,1611543211
vaini,-21.2,-175.2,82.4,83,75,9.22,TO,1611543211
barrow,71.2906,-156.7887,-5.8,77,1,11.5,US,1611543212
hermanus,-34.4187,19.2345,64.99,78,6,13.0,ZA,1611543212
busselton,-33.65,115.3333,77.0,50,29,1.99,AU,1611543212
upernavik,72.7868,-56.1549,12.7,93,12,13.69,GL,1611543212
maralal,1.0968,36.698,56.05,90,39,4.74,KE,1611543212
aripuana,-9.1667,-60.6333,71.1,99,99,1.23,BR,1611543213
sola,-13.8833,167.55,81.61,79,100,15.39,VU,1611543213
chuy,-33.6971,-53.4616,70.63,95,0,5.12,UY,1611543213
mataura,-46.1927,168.8643,60.01,85,100,21.0,NZ,1611543213
port alfred,-33.5906,26.891,63.0,92,87,16.98,ZA,1611543213
namibe,-15.1961,12.1522,73.27,77,22,2.33,AO,1611543214
punta arenas,-53.15,-70.9167,46.18,66,0,20.71,CL,1611543214
ushuaia,-54.8,-68.3,48.2,71,75,19.57,AR,1611543214
hithadhoo,-0.6,73.0833,81.77,70,100,3.42,MV,1611543214
bimbo,4.2567,18.4158,71.6,73,20,3.65,CF,1611543215
cape town,-33.9258,18.4232,62.65,72,0,9.22,ZA,1611543215
bredasdorp,-34.5322,20.0403,64.4,72,25,11.5,ZA,1611543215
saint george,37.1041,-113.5841,43.63,49,1,5.75,US,1611543215
jamestown,42.097,-79.2353,22.41,68,90,4.61,US,1611543215
san patricio,28.017,-97.5169,72.23,88,90,19.57,US,1611543216
rikitea,-23.1203,-134.9692,80.33,71,42,9.15,PF,1611543216
nachalovo,46.338,48.2013,33.4,80,75,8.95,RU,1611543216
atuona,-9.8,-139.0333,78.57,75,2,13.76,PF,1611543216
chokurdakh,70.6333,147.9167,-32.82,82,100,11.95,RU,1611543216
arraial do cabo,-22.9661,-42.0278,75.15,85,64,19.64,BR,1611543217
